id,wav_path,duration_seconds,reference_word_count,prediction_word_count,word_edits,char_edits,wer,cer,bucket_flags,reference,prediction
sample_00005861,dataset/extracted_wavs/sample_00005861.wav,9.201,21,24,22,95,1.047619,0.760000,code_switched_reference|repeated_token_hallucination,et les rapports متاعنا en tout cas تكلموا علي رواحهم ومن غاديكا عاونونا بش عملنا لل l'édition الثانية امبعد l'édition الثانية,et et et et les réponses متاعهم ا كلمة ماللخر من رجال تعاوننا بش نقول لهم اللي مال les distanciersنا ثلاثين des centaines de
sample_00007843,dataset/extracted_wavs/sample_00007843.wav,0.989,1,1,1,4,1.000000,1.333333,arabic_only_reference|short_clip|major_omission,خير,باهي
sample_00009077,dataset/extracted_wavs/sample_00009077.wav,0.960,1,1,1,5,1.000000,1.250000,arabic_only_reference|short_clip|major_omission,حذار,حبيتني
sample_00015532,dataset/extracted_wavs/sample_00015532.wav,0.997,1,1,1,7,1.000000,1.000000,code_switched_reference|short_clip|major_omission,comment,alors
sample_00004279,dataset/extracted_wavs/sample_00004279.wav,1.780,5,3,3,23,0.600000,0.589744,code_switched_reference|short_clip|high_cer_moderate_wer|major_omission,champagne champagane استغفر الله العظيم,ستخفر الله العظيم
sample_00020147,dataset/extracted_wavs/sample_00020147.wav,2.778,10,10,6,26,0.600000,0.541667,code_switched_reference|short_clip|high_cer_moderate_wer,work zone توا احنا مزلنا كي احتفلنا بخمسة سنين ل,توا احنا مازالنا كي احتفلنا بخمسة سنين من work centre
sample_00009038,dataset/extracted_wavs/sample_00009038.wav,1.920,5,5,3,12,0.600000,0.480000,arabic_only_reference|short_clip|high_cer_moderate_wer,ومش الناس الكل توصل تعمله,وماهيش الناس الكل في القاعدة
sample_00005801,dataset/extracted_wavs/sample_00005801.wav,10.281,28,31,30,120,1.071429,0.800000,code_switched_reference|long_clip,بكل ما تحمله الكل الكلمة من معني لهنا نحكيوا علي des ligues officielles نحكيوا علي des athlètes اللي يلعبوا في ال très haut niveau متاع les jeux اذوما,باهي ي ي يقول لي انا احنا لكم انت انا انعلمها بالموضوع معناها انا نحكي علي اللي احسان ما حكي روحك اجا جا ما يعملوا ان ان انجموا انليهموا قاعدين يشربوهم
sample_00013128,dataset/extracted_wavs/sample_00013128.wav,10.984,32,33,33,133,1.031250,0.820988,arabic_only_reference|long_clip,وحتي لليوم معنتها ما نسمعوا علي اللا ا ما نسمعوا عالاثار كان معنتها في العادة نسمعوا مثلا نسمعوا دقة ا نسمعوا الجم اكثر حاجات عنا في مخنا اثار هوما ا اصلهم روماني,والا في ا ا ارماضة ولا حاجة هكا بش يعمل recherche ثمة برشا منهم يعمله recherche ويكتب rapport يهزوا لعباد اخرين حكايات هكة donc شي هو ي يلوج بش نشاربوقع فيها اثار يلقي
sample_00013178,dataset/extracted_wavs/sample_00013178.wav,16.961,43,42,43,198,1.000000,0.730627,code_switched_reference|long_clip,ا ولازم الشباب يولي يهتم اكثر معنتها نمشيوا لل les sites archéologiques موش خاطر عنا touriste صحابنا جاي نمشوا اندوروا بيه ناخذوا l'initiative نمشيوا ووقتها انجموا نتحكموا في الماضي متاعنا وقتها انجموا انعاودوا نكتبوا تاريخنا ووقتها انجموا نبنيوا ا مجتمع جديد وبلاد جديدة,اللي هي العلم متاعها ام مثلا ال concept بيده متاع archéologie archéologue توانك مثلا ا علي عشرة مالناس مثلا يقول لي كي وقتها كنت نقرا نقول له نقري archéologie عشر مالناس يبدا يحكي لي علي العرافة والكنوز و وطنبش في القبور وكلي
sample_00015159,dataset/extracted_wavs/sample_00015159.wav,0.708,1,2,2,7,2.000000,1.750000,code_switched_reference|short_clip,stil,c'est bien
sample_00014180,dataset/extracted_wavs/sample_00014180.wav,0.718,1,2,2,6,2.000000,1.200000,code_switched_reference|short_clip,bravo,برا vous
